id;school_name;email_id;address;description
1;platforms Generic Steel Gloves;monitoring Home Loan Account;Investment Account generating Berkshire;Flat Realigned Accountability
2;Massachusetts Industrial Frozen;Savings Account Frozen Savings Account;Saint Kitts and Nevis;Credit Card Account Intelligent Cotton Chicken
3;overriding relationships;Frozen;solid state Coves;bifurcated invoice
4;Generic;quantifying policy;Beauty withdrawal Liberian Dollar;Dynamic Brunei Dollar
5;Cheese vortals communities;TCP TCP;service-desk;Frozen
6;Planner redefine plug-and-play;deliverables;conglomeration;payment
7;copying;primary THX;Passage;programming back up
8;multi-byte;alarm composite mission-critical;Licensed Steel;invoice
9;Security National RAM;Arizona;dynamic;applications
10;Incredible Credit Card Account orange;Health Principal;indexing disintermediate cross-platform;Exclusive
